Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-5.016999999999996,-4.016743243243246,True
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2022-2024,-22.820999999999998,-4.040742857142871,True
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-10.549,-4.261599999999998,True
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-9.826999999999998,-4.377599999999996,True
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,9.688000000000002,-4.445299999999994,True
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,-6.512999999999998,-4.827457142857142,True
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-36.924,-5.048899999999997,True
Enfermagem (Bacharelado),Ceilândia,Diurno,CN,6,2018-2020,2023-2025,16.685000000000002,-5.1489142857142856,True
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2019-2021,2022-2024,-44.456,-5.193399999999996,True
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,CN,5,2018-2020,2023-2025,-0.43599999999999994,-5.22541891891892,True
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-34.941,-5.380499999999998,True
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-24.474000000000004,-5.4491999999999985,True
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-12.532999999999998,-5.6309000000000005,True
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-50.33,-5.841299999999999,True
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-10.22099999999999,-5.997459459459457,True
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,-32.388999999999996,-6.088864864864866,True
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-25.254999999999995,-6.136513513513519,True
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,5.2620000000000005,-6.1507714285714306,True
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,-32.5,-6.227702702702704,True
Química (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-38.138,-6.387756756756757,True
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-28.381,-6.4011000000000005,True
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-30.572,-6.610899999999997,True
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-33.321999999999996,-6.6414,True
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5,2018-2020,2022-2024,-6.161999999999999,-6.9487,True
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,-2.635000000000005,-7.047228571428571,True
História (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-29.03900000000001,-7.494243243243246,True
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,4,2018-2020,2023-2025,-31.448,-7.551714285714283,True
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,-33.491,-7.633899999999998,True
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-23.686000000000007,-7.885899999999995,True
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R1_PPI,5,2018-2020,2022-2024,-34.117000000000004,-8.408999999999999,True
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,-23.303999999999995,-8.430171428571432,True
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,CN,4,2019-2021,2023-2025,-32.518,-8.628800000000004,True
Turismo (Bacharelado),Darcy Ribeiro,Diurno,CN,4,2019-2021,2023-2025,-31.64,-8.803514285714286,True
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,-3.4959999999999996,-8.859971428571427,True
Administração (Bacharelado),Darcy Ribeiro,Noturno,CN,5,2018-2020,2023-2025,-51.04,-9.408,True
